pub_date	title	url_slug	venue	excerpt	url	paper_url	citation	slides_url
11/2005	3D Screen-space Widgets for Non-linear Projection	g2005nl	Proceedings of the 3rd International Conference on Computer Graphics and Interactive Techniques in Australasia and South East Asia 	"This paper lets the user specify multiple cameras using screen-space widgets. Linear perspective is a good approximation to the format in which the human visual system conveys 3D scene information to the brain. Artists expressing 3D scenes,  however,  create nonlinear projections that balance their linear perspective view of a scene with elements of aesthetic style,  layout and relative importance of scene objects. Manipulating the many parameters of a linear perspective camera to achieve a desired view is not easy. Controlling and combining multiple such cameras to specify a nonlinear projection is an even more cumbersome task. This paper presents a direct interface,  where an artist manipulates in 2D the desired projection of a few features of the 3D scene. The features represent a rich set of constraints which define the overall projection of the 3D scene. Desirable properties of local linear perspective and global scene coherence drive a heuristic algorithm that attempts to interactively satisfy the given constraints as a weight-averaged projection of a minimal set of linear perspective cameras. This paper shows that 2D feature constraints are a direct and effective approach to control both the 2D layout of scene objects and the conceptually complex,  high dimensional parameter space of nonlinear scene projection.  Non-linear projection,  image-space camera control, "	http://doi.acm.org/10.1145/1101389.1101433	http://cindygr.github.io/files/g2005nl.pdf	Leon Barrett and Patrick Coleman and Nisha Sudarsanam and Karan Singh and Cindy Grimm	
11/2005	Spherical Manifolds for Adaptive Resolution Surface Modeling	g2005hm	Proceedings of the 3rd International Conference on Computer Graphics and Interactive Techniques in Australasia and South East Asia	"Spherical shape modeling using a hierarchical approach. \\\""Any patch any where\\\"". We present a surface modeling technique that supports adaptive resolution and hierarchical editing for surfaces of spherical topology. The resulting surface is analytic,  Ck,  and has a continuous local parameterization defined at every point. To manipulate these surfaces we describe a user-interface based on multiple,  overlapping subdivision-style meshes.  arbitrary topology,  hierarchical,  hypberbolic geometry,  parameterization,  splines,  surface modeling, "	http://doi.acm.org/10.1145/1101389.1101425	http://cindygr.github.io/files/g2005hm.pdf	Cindy Grimm	
9/2005	Interactive Manipulation of Projections with a Curved Perspective	euro2005imp	EG Short Presentations	"A specific type of non-linear projection that takes vanishing lines to sinusoids. The concept of ``curved perspective\\\\\\ has been used by artists such as M.C. Escher in order effectively convey a sense of three dimensional space while being restricted to a two dimensional canvas. We present an interactive system to create and manipulate projections with a curvilinear perspective. Our system presents the user with a set of intuitive screen-space perspective primitives that control the vanishing points of the scene. This allows the user to generate diverse projections having curved perspective.  non-linear projection, "	https://diglib.eg.org/handle/10.2312/egs.20051035.105-108	http://cindygr.github.io/files/euro2005imp.pdf	Nisha Sudarsanam and Cindy Grimm and Karan Singh	
6/2005	Curvature Maps for Local Shape Comparison	smi2005cm	International Conference on Shape Modeling and Applications 2005 (SMI\ 05)	"A local shape comparison technique for meshes, The ability to identify similarities between shapes is important for applications such as medical diagnosis,  object registration and alignment,  and shape retrieval. In this paper we present a method,  the  Curvature Map,  that uses surface curvature properties in a region around a point to create a unique signature for that point. These signatures can then be compared to determine the similarity of one point to another. To gather curvature information around a point we explore two techniques,  rings (which use the local topology of the mesh) and Geodesic Fans (which trace geodesics along the mesh from the point). We explore a variety of comparison functions and provide experimental evidence for which ones provide the best discriminatory power. We show that Curvature Maps are both more robust and provide better discrimination than simply comparing the curvature at individual points.  Curvature,  feature point,  differential geometry,  curve fitting,  curvature map,  local shape comparison,  surface curvature property,  geodesic fans,  Histograms, "	https://ieeexplore.ieee.org/document/1563230	http://cindygr.github.io/files/smi2005cm.pdf	Timothy Gatzke and Steve Zelinka and Cindy Grimm and Michael Garland	
10/2004	The IBar: A Perspective-based Camera Widget	uist2004IBar	Proceedings of the 17th annual ACM symposium on User interface software and technology	"The first draft of the IBar. <a href=\""./IBar\"">Source code</a> and more implementation details. We present a new screen space widget,  the IBar,  for effective camera control in 3D graphics environments. The IBar provides a compelling interface for controlling scene perspective based on the artistic concept of vanishing points. Various handles on the widget manipulate multiple camera parameters simultaneously to create a single perceived projection change. For example,  changing just the perspective distortion is accomplished by simultaneously decreasing the camera\\\s distance to the scene while increasing focal length. We demonstrate that the IBar is easier to learn for novice users and improves their understanding of camera perspective. Camera control, "	http://www.acm.org/uist/uist2004/index.html	http://cindygr.github.io/files/uist2004IBar.pdf	Karan Singh and Cindy Grimm and Nisha Sudarsanam	
10/2003	Using Texture Synthesis for Non-Photorealistic Shading from Paint Samples	pg2003uts	11th Pacific Conference on Computer Graphics and Applications (Pacific Graphics)	"Shading using texture, This paper presents several methods for shading meshes from scanned paint samples that represent dark to light transitions. Our techniques emphasize artistic control of brush stroke texture and color. We first demonstrate how the texture of the paint sample can be separated from its color gradient. We demonstrate three methods,  two real-time and one off-line for producing rendered,  shaded images from the texture samples. All three techniques use texture synthesis to generate additional paint samples. Finally,  we develop metrics for evaluating how well each method achieves our goal in terms of texture similarity,  shading correctness and temporal coherence. Texture synthesis,  non-photorealistic rendering, "		http://cindygr.github.io/files/pg2003uts.pdf	Christopher Kulla and James Tucek and Reynold Bailey and Cindy Grimm	
10/2003	An Autonomous Robot Photographer	iros2003arp	Proceedings 2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2003)	"The internals of the robot photographer system, We describe a complete,  end-to-end system for taking well-composed photographs using a mobile robot. The general scenario is a reception,  or other event,  where people are roaming around talking to each other. The robot serves as an ``event photographer\\\\\\,  roaming around the same space as the participants,  periodically taking photographs. These images are then sent to a workstation where participants can print the photographs out,  or email them.  Robot systems,  navigation,  photographer, "	https://ieeexplore.ieee.org/document/1249268	http://cindygr.github.io/files/iros2003arp.pdf	Zachary Byers and Michael Dixon and Kevin Goodier and William Smart and Cindy Grimm	
9/2003	Parameterizing N-holed Tori	ms2003pt	Mathematics of Surfaces	"Using hyperbolic geometry to parameterize n-holed objects. We define a parameterization for an n-holed tori based on the hyperbolic polygon. We model the domain using a manifold with 2n+2 charts,  and linear fractional transformations for transition functions. We embed the manifold using standard spline techniques to produce a surface.  parameterization,  hyperbolic geometry,  n-holed tori, "	https://link.springer.com/chapter/10.1007/978-3-540-39422-8_2	http://cindygr.github.io/files/ms2003pt.pdf	Cindy Grimm and John Hughes	
8/2003	Say Cheese!: Experiences with a Robot Photographer	iaai2003sc	Proceedings of the Fifteenth Conference on Innovative Applications of Artificial Intelligence	"The basic Lewis system. We have developed an autonomous robot system that takes well-composed photographs of people at social events,  such as weddings and conference receptions. The robot,  Lewis,  navigates through the environment,  opportunistically taking photographs of people. In this paper,  we outline the overall architecture of the system and describe how the various components inter-relate. We also describe our experiences of deploying the robot photographer at a number of real-world events.  Robots,  robot photography, "	http://www.aaai.org/Library/IAAI/2003/iaai03-009.php	http://cindygr.github.io/files/iaai2003sc.pdf	Zachary Byers and Michael Dixon and Cindy Grimm and William Smart	
6/2003	A New Input Device for 3D Sketching	vi2003nid	Vision Interface	"A novel sketch device using a piece of paper and a camera. We present a 3D input device consisting of a stiff piece of paper which is tracked by a digital video camera. The user can also draw on the paper using a pen-like device. The user moves the paper to specify the location of a virtual plane. By drawing on the paper,  the user can specify points in 3D space. The primary technical contribution of this paper is a new pose estimation algorithm suitable for a hand-held,  moving pattern. To demonstrate the usefulness of the device we developed a sketching application for simple characters. The characters are constructed by sketching and joining together 3D ellipses,  much as traditional cartoon characters are created in 2D using 2D ellipses.  Camera tracking,  sketching,  3D input device, "		http://cindygr.github.io/files/vi2003nid.pdf	Mark Schroering and Cindy Grimm and Robert Pless	
