pub_date	title	url_slug	venue	excerpt	url	paper_url	citation	slides_url
5/2003	A Thesis on a 3D Input Device for Sketching Characters	tech200320	Washington University in St. Louis	"Tracking a piece of paper as a drawing surface., The goal of this project is to develop a 3D input device using a stiff piece ofpaper and a camera. The camera tracks the piece of paper in 3D space. The userorients the paper in 3D space and then draws on the paper using a pen-like device. The camera tracks the movement of the pen on the piece of paper. The location of the pen in 3D space can then be calculated from the orientation of the paper.A drawing application that uses this 3D input device was also developed. Theapplication allows a user to make characters by sketching ellipses. The drawing application creates a virtual rendering of the paper and displays this to the user. As the user positions the real paper,  the virtual one mirrors its movements. The user can draw shapes on the paper. These shapes then get rendered in the virtual scene., Tracking,  3D drawing , https://openscholarship.wustl.edu/cse_research/1068/, "		http://cindygr.github.io/files/.pdf	Mark Schroering	
5/2005	Non-Photorealistic Rendering of Algorithmically Generated Trees	tech200516	Washington University in St. Louis	"Combining abstraction and realisim for rendering trees. Published in <a href=\""http://grapp.visigrapp.org/GRAPP2007/\"">GRAPP</a>, 2007, This work presents a novel rendering technique inspired by artistic approaches.Instead of trying to recreate the appearance of a traditional medium,  such as charcoal or watercolor,  this approach is a mixture of both photo-realism and abstraction.Artists use a process of abstraction to provide structural information about subjects that do not have clearly defined shapes,  such as groups of leaves in a tree. For example,  an artist will first use a color wash to approximate a group of leaves,  then add detail on top of parts of this wash to indicate individual leaves. Similarly,  weuse an abstract shape that approximates the image of leaves clustered at the end of a branch. To prevent oversimplification,  we add photo-realistic detail using a blendingprocess. Inter-frame coherence is achieved by smoothly interpolating the abstract shapes as well as by the continuity inherent in the photo-realistically rendered detail., Non-photorealistic rendering,  abstraction"		http://cindygr.github.io/files/.pdf	Nathan Dudley	
5/2005	What a Mesh: Dependent Data Types for Correct Mesh Manipulation Algorithms	tech200615	Washington University in St. Louis	"Programming language approach to representing meshes, The Edinburgh Logical Framework (LF) has been proposed as a system forexpressing inductively defined sets. I will present an inductive definition of the set of manifold meshes in LF. This definition takes into account the topological characterizationof meshes,  namely their Euler Characteristic.I will then present a set of dependent data types based on this inductive definition.These data types are defined in a programming language based on LF. Thelanguage’s type checking guarantees that any typeable expression represents a correctmanifold mesh. Furthermore,  any mesh can be represented using these data types.Hence,  the encoding is sound and complete., Meshes,  formal language theory,  proofs, https://openscholarship.wustl.edu/cse_research/932/, 52, "		http://cindygr.github.io/files/.pdf	Joel Brandt	
8/2003	Techniques for Non-photorealistic Shading using Real Paint	tech200362	Washington University in St. Louis	"Non-photorealistic techniques combining shading with texture. Published in Pacific Graphics, 2003, The goal of this research is to explore techniques for shading 3D computer generated models using scanned images of actual paint samples. The techniques presented emphasize artistic control of brush stroke texture and color. We first demonstrate how the texture of a paint sample can be separated from its color transition. Four methods,  three real-time and one off-line,  for producing rendered images from the paint samples are then presented. Finally,  we develop metrics for evaluating how welleach method achieves our goal in terms of texture similarity,  shading correctness,  and temporal coherence., 3D painting,  texture synthesis,  shading, https://openscholarship.wustl.edu/cse_research/1108/"		http://cindygr.github.io/files/.pdf	Reynold Bailey	
8/2006	A Thesis on Sketch-Based Techniques for Mesh Deformation and Editing	tech2006	Washington University in St. Louis	"Sketching techniques for meshes, The goal of this research is to develop new and more intuitive ways for editinga mesh from a static camera angle. I present two ways to edit a mesh via a simple sketching system. The first method is a gray-scale editor which allows the user to specify a fall off function for the region being deformed. The second method is a profile editor in which the user can re-sketch a mesh\s profile. Lastly,  the types of edits possible will be discussed and our results will be presented., Sketching,  meshes, https://openscholarship.wustl.edu/cse_research/209/, 54, "		http://cindygr.github.io/files/.pdf	Raquel Bujans	
1/2006	A View-Based Deformation Tool-kit	tech2006	Washington Universtiy in St. Louis	"CubeCam for single camera control and a framework for non-linear projection. CubeCam was published in Computational Aesthetics, 2009,  the curved perspective in Eurographics short papers 2005,  and the non-linear perspective rendering in NPAR 2008., Camera manipulation is a hard problem since a graphics camera is defined by specifying 11 independent parameters. Manipulating such a high-dimensional space to accomplish specific tasks is difficult and requires a certain amount of expertise. We present an intuitive interface that allows novice users to perform camera operations in terms of the change they want see in the image. In addition to developing a naturalmeans for camera interaction,  our system also includes a novel interface for viewing and organizing previously saved views. When exploring complex 3D data-sets a single view is not sufficient. Instead,  a composite view built from multiple views may be more useful. While changing a single camera is hard enough,  manipulating several cameras in a single scene is still harder. In this thesis,  we also present a framework for creating composite views and an interface that allows users to manipulate such views in real-time., Camera control and non-linear perspective, https://openscholarship.wustl.edu/cse_research/196/, "		http://cindygr.github.io/files/.pdf	Nisha Sudarsanam	
6/2007	A Fingerspelling Sign Language Visualization	proj207Carol	Washington University in St. Louis	"The goal of the Fingerspell Visualization Project is to research methods to improve learning of reading skills through sign language. The techniques are centered on Fingerspelling as the method to bridge stages of skill development. Visualization of a string of text in images of a hand performing the letters of the alphabet in standardized fingerspell sign language positions provide Full Motion Learning as opposed to learning from single pictures., https://openscholarship.wustl.edu/cse_research/140/, "		http://cindygr.github.io/files/.pdf	Carol Brickman	
5/1998	A Framework for the Synchronous Editingof Multiple Curve Representations 	proj1998matt	Brown University	"Published in Eurographics Forum, Curve editing, https://cs.brown.edu/research/pubs/theses/masters/1998/ayers.pdf, "		http://cindygr.github.io/files/.pdf	Matthew Ayers	
6/2017	Gender Differences in Robot Teleoperation	thesis2017Dilruba	Oregon State University	"Published as a paper in Ubiquitous Robots 2018, Gender issues have recently received increased attention in human robot interaction(HRI). Because robots are becoming part of our homes and daily lives,  it isimportant to understand how di erent groups of people use them. To the bestof our knowledge,  almost no research has been done that investigates gender differencesin users information need,  information processing strategy,  self-e cacy, tinkering and their impact in human robot interaction. This thesis investigatesthese four aspects by examining object manipulation task from gender perspectiveusing a humanoid robot (PR2). We used both qualitative and quantitative approachesfor cross validation and methodological triangulation. Our experimentalresults show that females asked for more information before using the robot thanmales (p = 0.0002). Females processed information comprehensively and malesprocessed information selectively (p < 0.001) for using the robot. Males showedgreater self-e cacy than females (p = 0.0002). Males tinkered more with the robotthan females (p = 0.0021). We found that tinkering was positively correlated (p= 0.0068) with task success and negatively correlated (p = 0.0032) with taskcompletion time. Tinkering perhaps led to males greater task success and lowertask completion time with the robot. Findings from this research can be useful formaking design decisions for robots and open new research directions., https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/fb494f20n, "		http://cindygr.github.io/files/.pdf	Dilruba Showkat	
8/2016	Analyzing Human Gaze Patterns During Grasping Tasks To Advance Robotic Grasping	thesis2016Sai	Oregon State University	"Published in Symposium on Applied Perception 2018, There is a strong interest in the robotics community in learning how humans grasp and manipulate objects,  partly because robots need to operate in human environments and partly because humans are currently much better in physical interaction tasks than robots. This thesis seeks to identify the human heuristics for grasping by analyzing human gaze patterns when humans perform grasping tasks using their own hand and when they use a robotic hand. This thesis uses a human-subject experiment to analyze the participant\s eye-gaze for finding what features people think are important for grasping objects. The features included where the fingertips settle down on the object relative to the object’s edges,  center of mass,  etc. It was found that while gaze patterns on the objects are similar whether the human used the robot hand or the human hand,  participants spent substantially more time gazing at the robotic hand then their own,  particularly the wrist and finger positions. In a subsequent study,  it was also shown that choosing camera angles that clearly display the features participants are interested in enables the participants to more effectively determine the effectiveness of a grasp from images. This thesis’s findings are relevant both for robotic grasp planning algorithms (where visual cues are important for analyzing objects for potential grasps) and for designing tele-operation interfaces (how best to present the visual data to the remote operator)., https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/k930c277f, "		http://cindygr.github.io/files/.pdf	Sai Krishna Allani	
